tire_condition,ac_condition,hybrid_battery_condition,engine_condition,tire_maintenance,ac_maintenance,battery_maintenance,engine_maintenance
1,100,44,68,1,0,1,0
33,26,39,84,0,1,1,0
47,13,6,41,0,1,1,0
56,79,44,58,0,0,1,0
22,83,25,78,1,0,1,0
70,91,42,41,0,0,1,0
39,32,13,88,0,1,1,0
32,0,1,46,0,1,1,0
11,61,91,40,1,0,0,1
60,65,69,57,0,0,0,0
1,47,88,81,1,0,0,0
4,67,60,43,1,0,0,0
99,18,16,65,0,1,1,0
29,48,70,97,1,0,0,0
66,34,0,71,0,1,1,0
29,55,23,74,1,0,1,0
80,59,56,22,0,0,0,1
15,61,80,62,1,0,0,0
89,99,3,98,0,0,1,0
36,94,86,42,0,0,0,0
96,67,69,47,0,0,0,0
5,82,91,0,1,0,0,1
73,9,57,8,0,1,0,1
80,23,3,77,0,1,1,0
37,49,25,17,0,0,1,1
86,79,100,22,0,0,0,1
80,6,25,57,0,1,1,0
53,1,67,9,0,1,0,1
39,16,11,88,0,1,1,0
27,42,22,31,1,0,1,1
100,23,13,68,0,1,1,0
34,68,76,28,0,0,0,1
44,22,29,21,0,1,1,1
54,16,16,74,0,1,1,0
70,11,90,35,0,1,0,1
76,11,95,89,0,1,0,0
82,59,16,4,0,0,1,1
58,20,49,76,0,1,1,0
71,4,88,44,0,1,0,0
76,90,45,47,0,0,1,0
17,69,60,80,1,0,0,0
43,4,18,94,0,1,1,0
0,10,27,79,1,1,1,0
1,46,100,95,1,0,0,0
18,18,38,65,1,1,1,0
53,4,1,78,0,1,1,0
47,63,40,26,0,0,1,1
64,32,89,32,0,1,0,1
17,51,15,98,1,0,1,0
94,59,50,3,0,0,1,1
98,9,51,62,0,1,0,0
56,22,80,26,0,1,0,1
3,66,17,26,1,0,1,1
44,40,84,22,0,1,0,1
96,15,62,29,0,1,0,1
40,43,77,66,0,0,0,0
40,10,86,12,0,1,0,1
45,52,65,52,0,0,0,0
62,97,49,71,0,0,1,0
68,88,72,99,0,0,0,0
42,29,2,97,0,1,1,0
27,11,6,69,1,1,1,0
99,84,29,79,0,0,1,0
61,94,77,30,0,0,0,1
46,8,58,74,0,1,0,0
23,55,82,60,1,0,0,0
43,30,3,9,0,1,1,1
45,45,68,0,0,0,0,1
11,44,48,5,1,0,1,1
78,90,10,17,0,0,1,1
54,23,30,10,0,1,1,1
85,6,20,98,0,1,1,0
31,55,3,49,0,0,1,0
1,55,12,56,1,0,1,0
66,5,76,51,0,1,0,0
76,7,99,91,0,1,0,0
0,33,17,53,1,1,1,0
94,60,4,11,0,0,1,1
6,81,85,89,1,0,0,0
65,22,100,54,0,1,0,0
71,64,11,30,0,0,1,1
91,24,48,84,0,1,1,0
69,76,7,87,0,0,1,0
99,47,72,23,0,0,0,1
54,3,58,5,0,1,0,1
25,9,87,23,1,1,0,1
68,1,58,87,0,1,0,0
100,21,77,61,0,1,0,0
64,4,75,44,0,1,0,0
60,11,67,52,0,1,0,0
37,87,86,71,0,0,0,0
91,42,8,60,0,0,1,0
75,59,36,93,0,0,1,0
40,92,42,49,0,0,1,0
18,64,31,35,1,0,1,1
33,47,51,79,0,0,0,0
61,25,86,37,0,1,0,1
67,48,10,62,0,0,1,0
44,6,94,53,0,1,0,0
9,75,80,39,1,0,0,1
0,98,17,25,1,0,1,1
32,55,63,93,0,0,0,0
54,82,74,38,0,0,0,1
86,73,16,85,0,0,1,0
51,6,33,90,0,1,1,0
95,18,62,11,0,1,0,1
58,71,47,8,0,0,1,1
63,78,68,95,0,0,0,0
81,90,7,0,0,0,1,1
25,42,86,22,1,0,0,1
56,0,46,25,0,1,1,1
17,43,65,58,1,0,0,0
14,85,9,56,1,0,1,0
31,89,15,35,0,0,1,1
32,100,52,13,0,0,0,1
0,23,85,74,1,1,0,0
67,79,0,24,0,0,1,1
27,92,73,47,1,0,0,0
8,61,84,71,1,0,0,0
50,50,4,75,0,0,1,0
78,0,53,73,0,1,0,0
25,26,96,64,1,1,0,0
63,23,77,64,0,1,0,0
81,1,47,88,0,1,1,0
15,92,2,80,1,0,1,0
77,85,82,21,0,0,0,1
42,89,97,81,0,0,0,0
56,52,49,64,0,0,1,0
86,0,99,87,0,1,0,0
80,66,45,29,0,0,1,1
89,6,59,24,0,1,0,1
85,29,5,37,0,1,1,1
66,4,43,4,0,1,1,1
93,24,69,5,0,1,0,1
88,67,81,29,0,0,0,1
23,4,78,53,1,1,0,0
54,55,3,29,0,0,1,1
93,95,56,29,0,0,0,1
89,1,68,58,0,1,0,0
36,99,80,33,0,0,0,1
40,97,35,38,0,0,1,1
68,51,38,77,0,0,1,0
31,33,54,23,0,1,0,1
100,74,29,38,0,0,1,1
49,59,12,44,0,0,1,0
43,88,52,1,0,0,0,1
22,98,8,82,1,0,1,0
39,30,2,83,0,1,1,0
43,96,91,5,0,0,0,1
53,0,26,73,0,1,1,0
58,17,20,49,0,1,1,0
19,24,68,51,1,1,0,0
20,49,42,85,1,0,1,0
28,53,90,9,1,0,0,1
68,28,98,86,0,1,0,0
4,79,3,73,1,0,1,0
50,80,62,9,0,0,0,1
30,41,31,63,1,0,1,0
7,65,37,76,1,0,1,0
69,18,18,0,0,1,1,1
80,51,83,67,0,0,0,0
4,89,67,73,1,0,0,0
44,90,43,71,0,0,1,0
98,91,3,70,0,0,1,0
81,52,61,49,0,0,0,0
54,20,64,82,0,1,0,0
61,7,36,23,0,1,1,1
53,61,1,94,0,0,1,0
9,5,41,80,1,1,1,0
44,31,49,94,0,1,1,0
46,83,30,93,0,0,1,0
28,55,65,56,1,0,0,0
67,35,47,24,0,1,1,1
52,68,27,76,0,0,1,0
85,53,3,62,0,0,1,0
24,76,26,82,1,0,1,0
97,26,70,2,0,1,0,1
16,19,94,62,1,1,0,0
62,4,64,31,0,1,0,1
96,15,87,44,0,1,0,0
33,2,53,16,0,1,0,1
13,44,99,8,1,0,0,1
31,9,49,9,0,1,1,1
73,40,51,24,0,1,0,1
100,58,28,33,0,0,1,1
7,2,27,67,1,1,1,0
73,35,45,49,0,1,1,0
65,33,20,1,0,1,1,1
29,56,4,87,1,0,1,0
40,96,67,81,0,0,0,0
22,18,51,95,1,1,0,0
58,45,15,82,0,0,1,0
94,88,11,98,0,0,1,0
12,9,89,66,1,1,0,0
2,5,35,57,1,1,1,0
53,70,53,21,0,0,0,1
3,56,14,54,1,0,1,0
21,20,45,62,1,1,1,0
4,12,92,71,1,1,0,0
54,10,74,90,0,1,0,0
43,37,7,69,0,1,1,0
67,27,46,33,0,1,1,1
59,58,39,10,0,0,1,1
78,72,20,70,0,0,1,0
70,62,83,20,0,0,0,1
25,42,51,60,1,0,0,0
69,95,33,25,0,0,1,1
36,22,70,45,0,1,0,0
38,78,59,41,0,0,0,0
97,70,3,69,0,0,1,0
35,36,25,85,0,1,1,0
28,69,37,48,1,0,1,0
6,50,95,96,1,0,0,0
35,33,46,78,0,1,1,0
65,45,21,24,0,0,1,1
91,95,43,92,0,0,1,0
76,70,43,60,0,0,1,0
88,32,26,84,0,1,1,0
99,32,65,76,0,1,0,0
53,14,66,100,0,1,0,0
92,24,86,2,0,1,0,1
56,15,66,25,0,1,0,1
85,64,42,29,0,0,1,1
60,39,12,17,0,1,1,1
3,24,27,45,1,1,1,0
82,56,0,44,0,0,1,0
77,76,84,52,0,0,0,0
43,55,63,52,0,0,0,0
95,55,23,60,0,0,1,0
73,33,7,59,0,1,1,0
0,6,19,68,1,1,1,0
7,99,21,47,1,0,1,0
71,33,57,100,0,1,0,0
18,97,44,98,1,0,1,0
24,77,35,85,1,0,1,0
10,47,85,2,1,0,0,1
67,66,94,9,0,0,0,1
60,23,46,36,0,1,1,1
33,88,4,60,0,0,1,0
84,40,24,31,0,1,1,1
75,80,43,88,0,0,1,0
70,90,78,52,0,0,0,0
54,86,19,78,0,0,1,0
100,68,98,75,0,0,0,0
1,9,16,72,1,1,1,0
60,10,9,53,0,1,1,0
100,38,4,66,0,1,1,0
17,43,36,47,1,0,1,0
60,4,78,57,0,1,0,0
42,68,33,60,0,0,1,0
43,83,96,21,0,0,0,1
40,61,88,67,0,0,0,0
65,95,13,50,0,0,1,0
97,48,55,3,0,0,0,1
91,40,87,79,0,1,0,0
68,2,81,75,0,1,0,0
26,76,32,5,1,0,1,1
0,49,75,5,1,0,0,1
16,44,6,1,1,0,1,1
48,15,80,97,0,1,0,0
37,100,50,9,0,0,1,1
7,95,34,52,1,0,1,0
6,67,93,83,1,0,0,0
40,8,19,94,0,1,1,0
14,58,68,10,1,0,0,1
99,14,57,66,0,1,0,0
81,53,70,43,0,0,0,0
87,81,96,9,0,0,0,1
27,87,69,46,1,0,0,0
2,33,94,88,1,1,0,0
31,87,59,94,0,0,0,0
58,20,8,58,0,1,1,0
53,30,11,72,0,1,1,0
12,43,62,77,1,0,0,0
69,7,72,37,0,1,0,1
70,62,96,89,0,0,0,0
38,87,32,87,0,0,1,0
87,3,38,60,0,1,1,0
62,71,42,42,0,0,1,0
56,19,0,100,0,1,1,0
80,26,91,9,0,1,0,1
1,82,38,54,1,0,1,0
75,70,100,16,0,0,0,1
94,21,36,61,0,1,1,0
1,29,42,48,1,1,1,0
54,70,67,92,0,0,0,0
73,84,38,72,0,0,1,0
58,97,2,40,0,0,1,1
72,11,47,8,0,1,1,1
88,99,99,50,0,0,0,0
30,94,18,42,1,0,1,0
7,37,36,8,1,1,1,1
33,31,29,81,0,1,1,0
51,35,32,82,0,1,1,0
60,63,98,84,0,0,0,0
95,47,8,86,0,0,1,0
35,91,3,68,0,0,1,0
79,5,72,6,0,1,0,1
51,79,14,49,0,0,1,0
25,79,25,56,1,0,1,0
54,64,31,46,0,0,1,0
87,88,34,86,0,0,1,0
96,8,81,100,0,1,0,0
24,20,79,91,1,1,0,0
29,4,61,66,1,1,0,0
67,71,11,32,0,0,1,1
45,94,20,69,0,0,1,0
24,73,52,36,1,0,0,1
75,38,90,63,0,1,0,0
91,27,86,56,0,1,0,0
95,51,72,82,0,0,0,0
64,34,9,86,0,1,1,0
82,36,91,75,0,1,0,0
42,74,90,83,0,0,0,0
77,92,93,23,0,0,0,1
72,30,91,42,0,1,0,0
64,67,74,91,0,0,0,0
26,54,22,35,1,0,1,1
67,24,21,71,0,1,1,0
19,43,38,98,1,0,1,0
12,93,96,98,1,0,0,0
95,18,84,71,0,1,0,0
1,71,66,83,1,0,0,0
48,11,37,70,0,1,1,0
94,21,1,76,0,1,1,0
68,34,27,96,0,1,1,0
53,7,75,71,0,1,0,0
50,44,23,96,0,0,1,0
10,74,38,68,1,0,1,0
29,2,72,3,1,1,0,1
70,96,90,66,0,0,0,0
86,36,90,92,0,1,0,0
93,30,91,86,0,1,0,0
71,96,82,19,0,0,0,1
26,99,28,8,1,0,1,1
1,85,9,53,1,0,1,0
39,64,95,16,0,0,0,1
63,60,100,31,0,0,0,1
10,92,23,48,1,0,1,0
96,80,19,88,0,0,1,0
12,66,11,16,1,0,1,1
26,62,38,19,1,0,1,1
24,53,86,92,1,0,0,0
29,36,20,44,1,1,1,0
0,28,24,70,1,1,1,0
38,9,31,75,0,1,1,0
7,48,24,55,1,0,1,0
75,62,66,75,0,0,0,0
95,65,57,74,0,0,0,0
44,30,12,61,0,1,1,0
0,37,69,40,1,1,0,1
20,59,9,2,1,0,1,1
13,84,69,24,1,0,0,1
44,29,42,37,0,1,1,1
34,78,43,25,0,0,1,1
44,32,94,8,0,1,0,1
79,76,43,64,0,0,1,0
57,21,5,55,0,1,1,0
45,69,52,61,0,0,0,0
38,56,67,78,0,0,0,0
43,9,35,92,0,1,1,0
82,13,50,25,0,1,1,1
25,65,65,9,1,0,0,1
83,56,15,25,0,0,1,1
31,92,41,8,0,0,1,1
27,55,72,31,1,0,0,1
35,6,44,61,0,1,1,0
34,35,51,78,0,1,0,0
70,82,75,21,0,0,0,1
22,8,20,9,1,1,1,1
63,74,41,53,0,0,1,0
93,37,88,100,0,1,0,0
52,47,54,53,0,0,0,0
51,63,98,83,0,0,0,0
84,48,3,27,0,0,1,1
41,67,12,66,0,0,1,0
60,30,69,95,0,1,0,0
100,74,33,49,0,0,1,0
58,39,94,16,0,1,0,1
90,5,90,87,0,1,0,0
47,42,60,26,0,0,0,1
76,19,64,80,0,1,0,0
55,34,37,99,0,1,1,0
23,63,14,67,1,0,1,0
30,81,66,10,1,0,0,1
12,61,60,25,1,0,0,1
56,55,81,63,0,0,0,0
61,41,28,60,0,0,1,0
87,77,0,100,0,0,1,0
1,49,16,49,1,0,1,0
73,22,32,47,0,1,1,0
98,89,89,41,0,0,0,0
48,72,6,5,0,0,1,1
7,39,78,38,1,1,0,1
17,7,64,97,1,1,0,0
59,58,20,69,0,0,1,0
46,1,39,3,0,1,1,1
84,4,90,43,0,1,0,0
62,66,70,0,0,0,0,1
72,66,32,74,0,0,1,0
69,2,75,46,0,1,0,0
38,14,18,54,0,1,1,0
38,87,2,1,0,0,1,1
38,12,73,42,0,1,0,0
76,2,25,2,0,1,1,1
36,90,62,81,0,0,0,0
66,72,31,23,0,0,1,1
17,19,89,46,1,1,0,0
13,43,96,9,1,0,0,1
72,35,61,51,0,1,0,0
37,36,55,46,0,1,0,0
25,0,97,26,1,1,0,1
14,47,36,21,1,0,1,1
75,22,51,56,0,1,0,0
10,79,52,27,1,0,0,1
46,32,19,73,0,1,1,0
51,98,40,67,0,0,1,0
37,7,16,47,0,1,1,0
52,39,96,84,0,1,0,0
8,91,75,32,1,0,0,1
96,58,95,33,0,0,0,1
76,19,2,53,0,1,1,0
94,13,4,43,0,1,1,0
1,16,38,43,1,1,1,0
95,68,7,4,0,0,1,1
88,11,69,30,0,1,0,1
80,90,30,6,0,0,1,1
24,51,56,12,1,0,0,1
5,95,82,88,1,0,0,0
69,21,79,9,0,1,0,1
41,92,13,82,0,0,1,0
62,31,83,24,0,1,0,1
34,23,71,9,0,1,0,1
2,55,66,7,1,0,0,1
97,50,52,88,0,0,0,0
51,45,77,23,0,0,0,1
92,88,94,19,0,0,0,1
73,6,23,16,0,1,1,1
100,25,54,45,0,1,0,0
18,18,2,38,1,1,1,1
79,42,24,42,0,0,1,0
93,66,91,71,0,0,0,0
8,50,50,20,1,0,1,1
92,89,75,50,0,0,0,0
6,49,15,60,1,0,1,0
39,100,28,1,0,0,1,1
50,22,59,13,0,1,0,1
29,43,59,86,1,0,0,0
16,33,4,0,1,1,1,1
7,86,78,63,1,0,0,0
31,97,41,23,0,0,1,1
63,82,93,100,0,0,0,0
77,67,18,13,0,0,1,1
21,83,75,73,1,0,0,0
49,51,3,58,0,0,1,0
18,22,39,5,1,1,1,1
87,38,9,27,0,1,1,1
56,10,75,36,0,1,0,1
74,58,24,43,0,0,1,0
21,79,75,29,1,0,0,1
8,49,77,8,1,0,0,1
29,41,22,6,1,0,1,1
60,43,82,26,0,0,0,1
66,19,7,74,0,1,1,0
19,69,86,60,1,0,0,0
75,93,96,0,0,0,0,1
54,84,94,80,0,0,0,0
28,9,53,6,1,1,0,1
10,25,84,12,1,1,0,1
52,56,29,83,0,0,1,0
26,19,19,14,1,1,1,1
8,24,83,74,1,1,0,0
97,18,3,2,0,1,1,1
42,65,71,75,0,0,0,0
84,4,97,69,0,1,0,0
45,9,19,40,0,1,1,1
35,15,0,92,0,1,1,0
17,31,59,74,1,1,0,0
85,19,26,41,0,1,1,0
1,35,80,28,1,1,0,1
95,40,60,58,0,1,0,0
27,37,62,12,1,1,0,1
1,57,11,32,1,0,1,1
19,34,96,27,1,1,0,1
34,66,31,63,0,0,1,0
49,25,59,68,0,1,0,0
69,93,2,4,0,0,1,1
5,80,6,46,1,0,1,0
15,23,74,72,1,1,0,0
43,16,18,74,0,1,1,0
57,76,72,91,0,0,0,0
42,40,79,8,0,1,0,1
95,3,33,59,0,1,1,0
76,62,40,32,0,0,1,1
91,88,88,28,0,0,0,1
18,40,3,50,1,1,1,0
53,16,75,21,0,1,0,1
32,95,75,94,0,0,0,0
28,68,54,100,1,0,0,0
9,55,83,54,1,0,0,0
94,66,17,96,0,0,1,0
75,34,65,10,0,1,0,1
18,42,91,15,1,0,0,1
19,72,73,8,1,0,0,1
49,59,87,59,0,0,0,0
26,56,84,47,1,0,0,0
25,58,89,51,1,0,0,0
49,5,25,51,0,1,1,0
20,0,52,47,1,1,0,0
93,57,16,96,0,0,1,0
71,34,95,81,0,1,0,0
87,6,9,68,0,1,1,0
41,55,31,93,0,0,1,0
14,18,34,76,1,1,1,0
15,16,41,71,1,1,1,0
11,49,77,70,1,0,0,0
73,60,3,73,0,0,1,0
11,44,88,12,1,0,0,1
40,54,34,39,0,0,1,1
18,75,61,54,1,0,0,0
56,85,98,2,0,0,0,1
58,53,56,39,0,0,0,1
39,82,18,3,0,0,1,1
30,32,14,12,1,1,1,1
88,35,55,37,0,1,0,1
19,54,80,55,1,0,0,0
31,21,47,9,0,1,1,1
47,23,88,73,0,1,0,0
66,11,23,62,0,1,1,0
21,81,78,9,1,0,0,1
35,95,33,33,0,0,1,1
31,58,11,17,0,0,1,1
46,1,40,57,0,1,1,0
98,30,64,90,0,1,0,0
93,24,77,17,0,1,0,1
80,80,72,37,0,0,0,1
93,67,75,3,0,0,0,1
60,41,44,68,0,0,1,0
1,9,97,80,1,1,0,0
92,96,30,56,0,0,1,0
80,87,25,3,0,0,1,1
97,17,61,99,0,1,0,0
18,36,38,50,1,1,1,0
23,35,90,53,1,1,0,0
12,82,33,49,1,0,1,0
48,91,82,50,0,0,0,0
71,43,82,21,0,0,0,1
24,42,5,80,1,0,1,0
61,16,85,78,0,1,0,0
18,59,69,74,1,0,0,0
78,83,35,78,0,0,1,0
92,68,98,55,0,0,0,0
2,49,89,24,1,0,0,1
49,15,96,9,0,1,0,1
30,100,0,19,1,0,1,1
45,99,41,37,0,0,1,1
60,61,75,52,0,0,0,0
48,44,57,79,0,0,0,0
27,91,85,26,1,0,0,1
78,96,55,15,0,0,0,1
51,63,70,7,0,0,0,1
88,65,52,42,0,0,0,0
11,22,41,4,1,1,1,1
55,7,89,99,0,1,0,0
0,4,35,82,1,1,1,0
55,58,15,43,0,0,1,0
54,56,31,63,0,0,1,0
7,30,100,99,1,1,0,0
62,36,38,2,0,1,1,1
66,40,19,29,0,1,1,1
68,68,15,17,0,0,1,1
34,89,98,75,0,0,0,0
87,96,47,17,0,0,1,1
18,61,30,85,1,0,1,0
66,39,56,21,0,1,0,1
9,62,72,72,1,0,0,0
87,15,56,98,0,1,0,0
71,58,62,76,0,0,0,0
40,69,95,31,0,0,0,1
73,90,23,69,0,0,1,0
59,34,32,4,0,1,1,1
38,32,88,67,0,1,0,0
82,34,28,19,0,1,1,1
85,9,46,16,0,1,1,1
19,85,55,40,1,0,0,1
1,25,80,64,1,1,0,0
61,70,38,54,0,0,1,0
8,73,47,100,1,0,1,0
100,82,20,2,0,0,1,1
52,94,13,62,0,0,1,0
